title,id,coordinates,source_system_url,image_url,iiif_url
"Ein Flussbett mit viel Geröll darin, vermutlich die Waldemme in Sörenberg nach dem Bergsturz von 1911",BibZug_TD_23_02280,"46.8237824584, 8.03230509097",https://n2t.net/ark:/63274/bz13d24,https://zentralgut.ch/content/BibZug_TD_23_02280/800/0/TD_23_02280.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02280/pages/1/manifest
Die zweite Lorzentobelbrücke bei Baar,BibZug_TD_23_02281,"47.1788880517, 8.5562650548",https://n2t.net/ark:/63274/bz1zm06,https://zentralgut.ch/content/BibZug_TD_23_02281/800/0/TD_23_02281.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02281/pages/1/manifest
Mädchenschulklasse vor dem nördlichen Seiteneingang der Kirche St. Michael in Zug,BibZug_TD_23_02283,,https://n2t.net/ark:/63274/bz1q64w,https://zentralgut.ch/content/BibZug_TD_23_02283/800/0/TD_23_02283.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02283/pages/1/manifest
Eine Einheit des Schweizer Militärs (vermutlich das Zuger Bataillon) marschiert in Formation von der Bahnhofstrasse herkommend über den Postplatz der Stadt Zug,BibZug_TD_23_02284,"47.1677080081, 8.51541127837",https://n2t.net/ark:/63274/bz1kd2z,https://zentralgut.ch/content/BibZug_TD_23_02284/800/0/TD_23_02284.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02284/pages/1/manifest
"Eine Einheit des Schweizer Militärs, vermutlich aus dem Zuger Bataillon, marschieren in Formation von der Bahnhofstrasse herkommend über den Postplatz der Stadt Zug",BibZug_TD_23_02285,"47.1677080081, 8.51541127837",https://n2t.net/ark:/63274/bz1fp83,https://zentralgut.ch/content/BibZug_TD_23_02285/800/0/TD_23_02285.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02285/pages/1/manifest
Eine Versammlung auf dem Postplatz von Zug,BibZug_TD_23_02286,"47.1677080081, 8.51541127837",https://n2t.net/ark:/63274/bz19w7k,https://zentralgut.ch/content/BibZug_TD_23_02286/800/0/TD_23_02286.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02286/pages/1/manifest
Volksfest auf dem Postplatz,BibZug_TD_23_03654,"47.1680049563, 8.51562257021",https://n2t.net/ark:/63274/bz10689,https://zentralgut.ch/content/BibZug_TD_23_03654/800/0/TD_23_03654.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_03654/pages/1/manifest
Vereidigung im Rahmen der Mobilmachung auf dem Postplatz in Zug,BibZug_TD_23_03653,"47.1680049563, 8.51562257021",https://n2t.net/ark:/63274/bz1410g,https://zentralgut.ch/content/BibZug_TD_23_03653/800/0/TD_23_03653.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_03653/pages/1/manifest
Dampfschiff Stadt Zug beim Landsgemeindeplatz,BibZug_TD_23_03652,"47.1673920628, 8.51436476192",https://n2t.net/ark:/63274/bz17q4r,https://zentralgut.ch/content/BibZug_TD_23_03652/800/0/TD_23_03652.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_03652/pages/1/manifest
"Blick über die Dächer der Altstadt von Zug, im Hintergrund sind die Kirchen St. Oswald und St. Michael zu erkennen sowie die Burg Zug",BibZug_TD_23_03651,"47.1652730864, 8.51671705926",https://n2t.net/ark:/63274/bz1ch6p,https://zentralgut.ch/content/BibZug_TD_23_03651/800/0/TD_23_03651.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_03651/pages/1/manifest
"Fasnachtumzug der Schreiner, Drexler und Küfer Zunft auf dem Landsgemeindeplatz",BibZug_TD_23_02287,"47.1671127383, 8.51471140744",https://n2t.net/ark:/63274/bz1664q,https://zentralgut.ch/content/BibZug_TD_23_02287/800/0/TD_23_02287.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02287/pages/1/manifest
"Fasnachtumzug der Schreiner, Drexler und Küfer Zunft auf dem Landsgemeindeplatz",BibZug_TD_23_02288,"47.1671127383, 8.51471140744",https://n2t.net/ark:/63274/bz12d2s,https://zentralgut.ch/content/BibZug_TD_23_02288/800/0/TD_23_02288.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02288/pages/1/manifest
"Fasnachtumzug der Schreiner, Drexler und Küfer Zunft auf dem Landsgemeindeplatz",BibZug_TD_23_02289,"47.1671127383, 8.51471140744",https://n2t.net/ark:/63274/bz1xp9b,https://zentralgut.ch/content/BibZug_TD_23_02289/800/0/TD_23_02289.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02289/pages/1/manifest
"Fasnachtumzug der Schreiner, Drexler und Küfer Zunft auf dem Landsgemeindeplatz",BibZug_TD_23_02290,"47.1671127383, 8.51471140744",https://n2t.net/ark:/63274/bz1sw7d,https://zentralgut.ch/content/BibZug_TD_23_02290/800/0/TD_23_02290.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02290/pages/1/manifest
"Fasnachtumzug der Schreiner, Drexler und Küfer Zunft auf dem Landsgemeindeplatz",BibZug_TD_23_02291,"47.1671127383, 8.51471140744",https://n2t.net/ark:/63274/bz1p64j,https://zentralgut.ch/content/BibZug_TD_23_02291/800/0/TD_23_02291.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02291/pages/1/manifest
"Fasnachtumzug der Schreiner, Drexler und Küfer Zunft auf dem Landsgemeindeplatz",BibZug_TD_23_02292,"47.1671127383, 8.51471140744",https://n2t.net/ark:/63274/bz1jd2m,https://zentralgut.ch/content/BibZug_TD_23_02292/800/0/TD_23_02292.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02292/pages/1/manifest
Umzugswagen für die Fastnacht,BibZug_TD_23_02293,,https://n2t.net/ark:/63274/bz1dp95,https://zentralgut.ch/content/BibZug_TD_23_02293/800/0/TD_23_02293.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02293/pages/1/manifest
"Fasnachtumzug der Schreiner, Drexler und Küfer Zunft auf dem Landsgemeindeplatz",BibZug_TD_23_02294,"47.1671127383, 8.51471140744",https://n2t.net/ark:/63274/bz18w77,https://zentralgut.ch/content/BibZug_TD_23_02294/800/0/TD_23_02294.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02294/pages/1/manifest
"Eine Versammlung auf dem Postplatz von Zug, vermutlich im Rahmen der Fastnacht",BibZug_TD_23_02295,"47.1677080081, 8.51541127837",https://n2t.net/ark:/63274/bz1564c,https://zentralgut.ch/content/BibZug_TD_23_02295/800/0/TD_23_02295.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_02295/pages/1/manifest
